,WSbin,GP
0,3.0,88.57590702015776
1,3.5,160.31663619783257
2,4.0,294.17211326251226
3,4.5,443.8911704523848
4,5.0,593.961848745636
5,5.5,763.656171966252
6,6.0,988.1238779773956
7,6.5,1278.0624080975062
8,7.0,1616.7080664232687
9,7.5,1992.5235856008517
10,8.0,2359.142109788256
11,8.5,2895.6918209864007
12,9.0,3223.9450974735337
13,9.5,3235.881064673202
14,10.0,3234.61172852
15,10.5,3235.9823280384617
16,11.0,3231.500556055556
17,11.5,3229.1890135999997
18,12.0,3239.419311642857
19,12.5,3237.5912476249996
20,13.0,3238.15997325
21,13.5,3240.7799803999997
22,14.0,3266.909912
23,14.5,
24,15.0,3235.639893
25,16.0,3200.399902
