,WSbin,GP
0,3.0,79.45833730622009
1,3.5,148.21706567739298
2,4.0,271.97062966605125
3,4.5,414.09960719539566
4,5.0,563.9696405266483
5,5.5,728.1387571605852
6,6.0,937.2062640078512
7,6.5,1208.997450857143
8,7.0,1485.8442079825693
9,7.5,1799.05013191407
10,8.0,2145.0636489738386
11,8.5,2628.980103418896
12,9.0,3176.0604364657256
13,9.5,3238.315986767403
14,10.0,3238.748422093514
15,10.5,3238.2439740118693
16,11.0,3238.0440230956174
17,11.5,3238.138056094444
18,12.0,3238.3656927625902
19,12.5,3239.1548235740743
20,13.0,3238.960470109757
21,13.5,3239.7816412876714
22,14.0,3237.6555695573766
23,14.5,3237.135367511628
24,15.0,3238.794833090909
25,15.5,3235.321682555556
26,16.0,3232.5240234
27,16.5,3236.165039
28,17.0,3226.139893
