,WSbin,GP
0,3.0,87.9577788005923
1,3.5,157.14636861902582
2,4.0,284.5718174601388
3,4.5,437.45971796449254
4,5.0,596.6120965644578
5,5.5,776.3641530223325
6,6.0,988.7412292112308
7,6.5,1260.1079973408362
8,7.0,1566.2380867163856
9,7.5,1892.9941619719896
10,8.0,2261.169750470954
11,8.5,2820.514498436669
12,9.0,3227.3272014657373
13,9.5,3237.916177967354
14,10.0,3237.8106697871976
15,10.5,3236.9299071006103
16,11.0,3238.659743004329
17,11.5,3237.4378036926823
18,12.0,3238.752171509317
19,12.5,3238.5341834961237
20,13.0,3238.533666977778
21,13.5,3236.252079362069
22,14.0,3237.9117911249996
23,14.5,3240.19427202381
24,15.0,3235.538548107143
25,15.5,3236.027277181818
26,16.0,3230.5028947142855
27,16.5,3232.6850585
28,17.0,3239.649902
