,WSbin,GP
0,3.0,84.07025866254217
1,3.5,150.58598907107395
2,4.0,270.30138464114737
3,4.5,415.5990173835755
4,5.0,564.5464774309345
5,5.5,741.0708608038831
6,6.0,956.1561895636456
7,6.5,1224.1079377918509
8,7.0,1544.3456649630148
9,7.5,1896.9762094355692
10,8.0,2269.0839345330223
11,8.5,2839.935836215928
12,9.0,3235.398906372925
13,9.5,3238.8359724215684
14,10.0,3238.6965028642444
15,10.5,3237.718172610527
16,11.0,3236.660870114131
17,11.5,3238.240452828947
18,12.0,3234.9324850366966
19,12.5,3235.6627897066664
20,13.0,3235.7155412678576
21,13.5,3234.3378840789474
22,14.0,3229.987238090909
23,14.5,3233.9909113181816
24,15.0,3220.521104555555
25,15.5,3228.1099855
26,16.0,3235.805054
