,WSbin,GP
0,3.0,65.32411050345424
1,3.5,117.05109396749874
2,4.0,238.55477182531527
3,4.5,376.6699726346015
4,5.0,519.362299235888
5,5.5,674.6460923225286
6,6.0,878.6830742274976
7,6.5,1145.0616744629751
8,7.0,1457.533193460996
9,7.5,1813.3419330781742
10,8.0,2183.8309826410627
11,8.5,2647.51055276594
12,9.0,3143.96086636868
13,9.5,3234.580484389334
14,10.0,3236.0642647428576
15,10.5,3235.43188475
16,11.0,3237.6291503333337
17,11.5,3229.092843285714
18,12.0,3240.4666343333333
19,12.5,3230.3049925
20,13.0,3240.5200681999995
21,13.5,3243.193359333333
22,14.0,3243.969971
23,14.5,3241.120117
24,15.0,3232.3583981666666
25,15.5,3231.23999
26,16.0,3253.204956
27,16.5,
28,17.0,
