,WSbin,GP
0,3.0,88.80333332323232
1,3.5,152.61355072417737
2,4.0,263.7746891907808
3,4.5,395.7200410831708
4,5.0,537.9528394022786
5,5.5,704.6533684565217
6,6.0,920.3966946702324
7,6.5,1170.1098909587238
8,7.0,1486.0453435902966
9,7.5,1833.2847675397425
10,8.0,2201.599827662709
11,8.5,2675.2311615652475
12,9.0,3183.6895880822262
13,9.5,3237.930773293991
14,10.0,3237.8286914726564
15,10.5,3238.091716761194
16,11.0,3236.6325398477156
17,11.5,3235.9304995744683
18,12.0,3235.5996094399998
19,12.5,3234.609642662651
20,13.0,3237.0528893076935
21,13.5,3232.1555650277774
22,14.0,3229.427617120001
23,14.5,3231.8385649523807
24,15.0,3230.251668333333
25,15.5,3235.565022666666
26,16.0,3238.379883
