,WSbin,GP
0,3.0,90.37942510367579
1,3.5,157.66057070918487
2,4.0,279.0253352591362
3,4.5,427.9200600550881
4,5.0,566.3137111023879
5,5.5,720.8809442051476
6,6.0,924.3921536831135
7,6.5,1168.8515579219102
8,7.0,1466.4143121337595
9,7.5,1847.6213942164609
10,8.0,2322.638523772032
11,8.5,2960.046332527594
12,9.0,3233.397409930453
13,9.5,3237.2135708566693
14,10.0,3235.655749212454
15,10.5,3236.1889459577465
16,11.0,3236.0416709684214
17,11.5,3234.6125115416667
18,12.0,3230.84934968085
19,12.5,3238.410265526316
20,13.0,3232.00150135
21,13.5,3229.586242625
22,14.0,3226.7445910769234
23,14.5,3238.989990307692
24,15.0,3227.2875059999997
25,15.5,3233.343343
26,16.0,
27,17.5,3227.040039
