,WSbin,GP
0,3.0,81.36184784420288
1,3.5,149.62501464062152
2,4.0,271.4302299961963
3,4.5,403.498215626076
4,5.0,543.2214338980953
5,5.5,707.2058507105671
6,6.0,916.4213548638053
7,6.5,1161.782324809524
8,7.0,1424.9897754771562
9,7.5,1736.3230343478501
10,8.0,2131.6559849507435
11,8.5,2627.947035463819
12,9.0,3117.8771408990824
13,9.5,3236.0174452120345
14,10.0,3238.5585144
15,10.5,3237.0786458666666
16,11.0,3235.862196111111
17,11.5,3230.3999999999996
18,12.0,3239.289917
19,13.0,3238.340088
20,13.5,3236.679932
21,14.0,
22,14.5,3206.280029
