,WSbin,GP
0,3.0,85.40231286394557
1,3.5,155.25777318014707
2,4.0,268.63003409540994
3,4.5,403.2931951174836
4,5.0,551.6198811756357
5,5.5,713.5667960690802
6,6.0,934.946791081672
7,6.5,1190.1129033242385
8,7.0,1507.2208757853302
9,7.5,1873.6099130064104
10,8.0,2268.633090344151
11,8.5,2747.789445106195
12,9.0,3217.7681433167663
13,9.5,3238.4184269263587
14,10.0,3237.4388993268294
15,10.5,3237.0143726490383
16,11.0,3236.404014696722
17,11.5,3238.3509105227276
18,12.0,3238.9757474705884
19,12.5,3234.7720862325573
20,13.0,3231.864999
21,13.5,3225.555305117647
22,14.0,3232.397686384615
23,14.5,3234.94497675
24,15.0,3219.8650512500003
25,15.5,3228.76001
26,16.0,
